channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,20,rbf,10,10,49,1,12.5,0.5681159420289855,0.6666666666666667,0.642391304347826
all,3.0,20,rbf,10,10,50,1,37.5,0.12524461839530332,0.6666666666666667,0.27095564253098503
all,3.0,20,rbf,10,10,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,20,rbf,window,20,42,1,22.5,0.34934497816593885,0.6666666666666667,0.4730058224163028
all,3.0,20,rbf,window,20,43,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,window,20,44,4,12.5,0.5060277275467149,0.33333333333333337,0.5446805304400241
all,3.0,20,rbf,window,20,45,1,17.5,0.48687804298776866,0.6666666666666667,0.5717723548272178
all,3.0,20,rbf,window,20,46,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,window,20,47,2,5.0,0.8128077145088451,1.0,0.8764038572544226
all,3.0,20,rbf,window,20,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
all,3.0,20,rbf,window,20,49,1,12.5,0.5681159420289855,0.6666666666666667,0.642391304347826
all,3.0,20,rbf,window,20,50,1,22.5,0.34934497816593885,0.6666666666666667,0.4730058224163028
all,3.0,20,rbf,window,20,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,20,l2,5,5,42,19,8.75,0.22725129655822726,0.0,0.3611256482791136
all,3.0,20,l2,5,5,43,22,8.181818181818182,0.19109663409337677,0.0,0.3464574079557793
all,3.0,20,l2,5,5,44,21,9.821428571428571,0.17815418023887078,0.0,0.330148518690864
all,3.0,20,l2,5,5,45,19,7.631578947368421,0.22385810839898404,0.0,0.36613958051528145
all,3.0,20,l2,5,5,46,20,8.0,0.19934130698561275,0.0,0.35167065349280635
all,3.0,20,l2,5,5,47,18,8.88888888888889,0.21915807560137457,0.0,0.35624570446735393
all,3.0,20,l2,5,5,48,21,7.5,0.19109663409337677,0.0,0.3505483170466884
all,3.0,20,l2,5,5,49,17,10.220588235294118,0.20981951928834147,0.0,0.34358623023240603
all,3.0,20,l2,5,5,50,22,7.954545454545454,0.19109663409337677,0.0,0.34782104431941563
all,3.0,20,l2,5,5,51,21,7.5,0.23195876288659795,0.0,0.370979381443299
all,3.0,20,l2,10,10,42,10,10.75,0.29207301825456367,0.0,0.3815365091272818
all,3.0,20,l2,10,10,43,11,10.227272727272727,0.29678820532097067,0.0,0.38703046629684895
all,3.0,20,l2,10,10,44,10,10.75,0.29977126221667705,0.0,0.3853856311083385
all,3.0,20,l2,10,10,45,10,9.5,0.33217131474103584,0.0,0.40908565737051794
all,3.0,20,l2,10,10,46,11,8.522727272727273,0.32168065822996283,0.0,0.40970396547861776
all,3.0,20,l2,10,10,47,10,10.0,0.3397523501884292,0.0,0.4098761750942146
all,3.0,20,l2,10,10,48,10,10.25,0.3150701950552864,0.0,0.3960350975276432
all,3.0,20,l2,10,10,49,10,10.75,0.29977126221667705,0.0,0.3853856311083385
all,3.0,20,l2,10,10,50,12,7.5,0.29550827423167847,0.0,0.40275413711583924
