channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,15,rbf,window,15,46,1,21.5,0.3136388788760309,0.0,0.3278194394380155
all,3.0,15,rbf,window,15,47,3,14.958333333333334,0.3674770813617029,0.6666666666666667,0.5273218740141847
all,3.0,15,rbf,window,15,48,0,50.0,0.0,0.0,0.0
all,3.0,15,rbf,window,15,49,3,11.291666666666668,0.46718006448154914,0.6666666666666667,0.5991733655741078
all,3.0,15,rbf,window,15,50,2,19.25,0.2801650505871239,0.33333333333333337,0.39124919196022856
all,3.0,15,rbf,window,15,51,2,15.5,0.3917427120997869,0.33333333333333337,0.4695380227165601
all,3.0,15,l2,5,5,42,23,5.173913043478261,0.2944108165899016,0.0,0.4161619300340812
all,3.0,15,l2,5,5,43,23,5.065217391304348,0.27928257087857256,0.0,0.40924998109146016
all,3.0,15,l2,5,5,44,23,5.282608695652174,0.27928257087857256,0.0,0.4079456332653732
all,3.0,15,l2,5,5,45,21,5.125,0.32681680464282664,0.0,0.4326584023214133
all,3.0,15,l2,5,5,46,21,5.839285714285714,0.30466085235224316,0.0,0.4172947118904073
all,3.0,15,l2,5,5,47,21,5.267857142857143,0.2961400900609743,0.0,0.41646290217334425
all,3.0,15,l2,5,5,48,19,5.3881578947368425,0.3244823787960219,0.0,0.4299122420295899
all,3.0,15,l2,5,5,49,21,5.458333333333333,0.31039753305191137,0.0,0.42244876652595564
all,3.0,15,l2,5,5,50,23,5.320652173913044,0.2752199021687562,0.0,0.40568603804089987
all,3.0,15,l2,5,5,51,21,5.023809523809524,0.3162045116669899,0.0,0.4279593986906378
all,3.0,15,l2,10,10,42,11,4.681818181818182,0.5035617891936752,0.0,0.5236899855059285
all,3.0,15,l2,10,10,43,11,4.795454545454545,0.5222988017726142,0.0,0.5323766736135798
all,3.0,15,l2,10,10,44,9,5.986111111111111,0.5191062305011597,0.0,0.5236364485839131
all,3.0,15,l2,10,10,45,11,5.147727272727273,0.4914329612198063,0.0,0.5148301169735394
all,3.0,15,l2,10,10,46,12,5.333333333333334,0.4625938460245378,0.0,0.49929692301226886
all,3.0,15,l2,10,10,47,10,6.3,0.48369917425729786,0.0,0.5040495871286489
all,3.0,15,l2,10,10,48,11,5.147727272727273,0.49505523357579057,0.0,0.5166412531515316
all,3.0,15,l2,10,10,49,10,5.875,0.4908254796505719,0.0,0.5101627398252859
all,3.0,15,l2,10,10,50,11,5.022727272727273,0.49505523357579057,0.0,0.5173912531515317
all,3.0,15,l2,10,10,51,11,5.193181818181818,0.49505523357579057,0.0,0.5163685258788043
all,3.0,15,l2,window,15,42,7,5.107142857142858,0.6441852075628709,0.0,0.5914497466385783
all,3.0,15,l2,window,15,43,6,5.208333333333334,0.6899089289579275,0.33333333333333337,0.6803711311456304
all,3.0,15,l2,window,15,44,6,6.125,0.6620503377321715,0.33333333333333337,0.6609418355327523
all,3.0,15,l2,window,15,45,7,4.482142857142858,0.6797415468111593,0.0,0.6129779162627225
all,3.0,15,l2,window,15,46,7,4.803571428571429,0.6633851396002889,0.0,0.6028711412287159
all,3.0,15,l2,window,15,47,8,7.25,0.519094077295841,0.0,0.5160470386479206
all,3.0,15,l2,window,15,48,7,5.928571428571429,0.6172641742087126,0.0,0.5730606585329276
all,3.0,15,l2,window,15,49,7,5.714285714285714,0.6016727077341812,0.0,0.5665506395813763
all,3.0,15,l2,window,15,50,7,7.142857142857143,0.5377298865231556,0.0,0.5260078004044348
all,3.0,15,l2,window,15,51,7,4.678571428571429,0.6699277024846371,0.0,0.6068924226708899
