channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
residuals,8.0,25,l2,window,0.6503531324894759,0.14205656818700246,0.5446729316456185,0.17175435729331837,14.775,6.481341929714597,1.9,0.7378647873726218
importance,8.0,30,l2,window,0.6482560092585855,0.23072890860876294,0.5551786851838376,0.22092210784857746,16.0,12.812754062521712,1.5,0.7071067811865476
importance,7.0,30,l2,window,0.6482560092585855,0.23072890860876294,0.5551786851838376,0.22092210784857746,16.0,12.812754062521712,1.5,0.7071067811865476
r2_only,6.0,25,l2,window,0.6447968818810659,0.09725348258322962,0.5502937637621317,0.10088281278648549,15.058333333333334,5.539149386496624,1.8,0.7888106377466154
all,3.0,25,l2,window,0.6447361460013911,0.09228258505662547,0.6155722920027821,0.09446772280740703,10.508333333333333,2.491172687315091,3.5,0.5270462766947299
all,4.0,25,l2,window,0.6447361460013911,0.09228258505662547,0.6155722920027821,0.09446772280740703,10.508333333333333,2.491172687315091,3.5,0.5270462766947299
all,5.0,25,l2,window,0.6447361460013911,0.09228258505662547,0.6155722920027821,0.09446772280740703,10.508333333333333,2.491172687315091,3.5,0.5270462766947299
r2_resid,3.0,30,rbf,window,0.6437512945286776,0.11698994376808426,0.5505025890573553,0.1173650745234533,15.25,5.458174297937606,1.4,0.5163977794943222
residuals,8.0,20,l2,window,0.6425681518240725,0.11331957676288436,0.539636303648145,0.14527389895846943,14.541666666666666,6.0586447268284305,2.4,0.9660917830792959
r2_only,3.0,20,l2,window,0.6376504769849547,0.08041856662123095,0.5922676206365759,0.07694161548763924,10.858333333333333,2.6939575734237926,3.4,0.8432740427115678
r2_only,5.0,25,l2,window,0.6368279074104676,0.10046062490765295,0.5559224814876018,0.09854561436419529,14.633333333333335,5.579144365568242,2.0,1.0540925533894598
residuals,8.0,30,l2,10,0.6361762813580638,0.09914687577823862,0.5687692293827942,0.1173639053783551,12.479166666666668,4.118295617885668,2.7,1.1595018087284057
residuals,8.0,30,l2,5,0.6361762813580638,0.09914687577823862,0.5687692293827942,0.1173639053783551,12.479166666666668,4.118295617885668,2.7,1.1595018087284057
fit_quality,4.0,30,rbf,10,0.6359104597295032,0.12315555502957029,0.5619542527923398,0.12084078305757999,13.066666666666666,4.486915132628141,2.4,1.3498971154211057
fit_quality,4.0,30,rbf,5,0.6359104597295032,0.12315555502957029,0.5619542527923398,0.12084078305757999,13.066666666666666,4.486915132628141,2.4,1.3498971154211057
fit_quality,3.0,30,rbf,10,0.6333418570184582,0.09956884166499873,0.5972337140369165,0.11413689583295951,10.879166666666666,3.874200933143552,3.1,1.286683937707919
fit_quality,3.0,30,rbf,5,0.6333418570184582,0.09956884166499873,0.5972337140369165,0.11413689583295951,10.879166666666666,3.874200933143552,3.1,1.286683937707919
residuals,4.0,20,l2,window,0.6315114158785702,0.11053214821880585,0.5799894984238072,0.1089660021022327,10.858333333333334,3.825938922927979,3.4,0.9660917830792958
fit_quality,3.0,25,rbf,5,0.6314442225616765,0.08994322847142948,0.5589717784566866,0.1424888314022523,13.5625,6.549822410654438,2.8,1.1352924243950933
r2_only,4.0,20,l2,window,0.630177920668743,0.11005275793878726,0.5541891746708194,0.1295383560601123,13.375,5.700200343024558,2.8,1.0327955589886444
r2_resid,8.0,20,l2,window,0.6285685843340998,0.07430033758311504,0.5810538353348662,0.09569087926205426,11.4375,3.854573301872228,3.4,0.5163977794943222
no_jaccard,3.0,25,rbf,window,0.6275381562911004,0.23190417174811356,0.5343763125822008,0.233923685736858,16.60833333333333,12.79745164157765,1.6,0.8432740427115678
no_jaccard,3.0,25,rbf,5,0.6248010798764113,0.19481262893914236,0.5469021597528226,0.21518239734940867,14.775,10.320691191323704,2.3,1.2516655570345725
no_jaccard,3.0,25,rbf,10,0.6248010798764113,0.19481262893914236,0.5469021597528226,0.21518239734940867,14.775,10.320691191323704,2.3,1.2516655570345725
residuals,7.0,20,l2,window,0.6216118747922748,0.1261459910823513,0.5246904162512162,0.14532582893606347,14.566666666666666,6.032550593792536,2.6,1.1737877907772671
residuals,3.0,25,rbf,5,0.6193521303733358,0.16114640642995037,0.5208375940800049,0.18314740720532116,15.733333333333334,7.36281950825301,1.9,0.9944289260117531
residuals,3.0,25,rbf,10,0.6193521303733358,0.16114640642995037,0.5208375940800049,0.18314740720532116,15.733333333333334,7.36281950825301,1.9,0.9944289260117531
importance,3.0,25,l2,window,0.61834367512435,0.20128371383190735,0.5535206835820333,0.2065743296532937,15.291666666666668,12.518766776521488,2.6,1.0749676997731399
importance,5.0,25,l2,window,0.6181707992933451,0.2037870590317749,0.5352082652533567,0.20686009504247554,16.01666666666667,12.465681284091264,2.4,1.0749676997731399
importance,4.0,25,l2,window,0.6173601930711513,0.20072614363294533,0.5520537194756359,0.20552323815373544,15.333333333333334,12.496480986143142,2.6,1.0749676997731399
r2_only,6.0,30,l2,5,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
r2_only,6.0,30,l2,10,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
