channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
importance,5.0,15,l2,window,0.6379486811171426,0.11995580136037501,0.5281306955676186,0.1341305213922139,9.908333333333335,4.358049172805718,3.8,1.3165611772087666
residuals,5.0,20,l2,10,0.63773764446498,0.07883772293808207,0.5684502889299602,0.0785053403575642,7.747916666666667,1.7152935853100322,5.6,1.429840705968481
fit_quality,7.0,20,l2,10,0.6376701439436877,0.08812036129326603,0.624679573601661,0.09094774243824516,5.778273809523809,1.6130435291600878,6.6,1.6465452046971292
importance,8.0,20,l2,10,0.6374106135469788,0.14684883662382314,0.500354560427291,0.17239783407223983,11.016666666666667,5.902114341801902,3.9,0.9944289260117533
r2_only,3.0,30,l2,5,0.6371031030540664,0.14960943621802472,0.5639228727747996,0.17384832701891773,8.5875,4.669908348295658,4.5,1.9578900207451218
fit_quality,3.0,20,rbf,5,0.6370343621537742,0.10503283572323059,0.5241520576408816,0.10946744772733326,9.729166666666668,3.64091599602675,3.8,1.2292725943057181
importance,8.0,20,l2,5,0.6362611733589185,0.11709452050625242,0.5041890133845037,0.1522411801029505,10.416666666666668,4.6785562825394,4.4,1.0749676997731399
r2_only,4.0,30,l2,10,0.6359932607168649,0.15924528333243598,0.5737865214337299,0.17512565513576342,8.483333333333333,4.6118724271114235,3.7,1.766981104093143
importance,7.0,15,l2,5,0.6359056015555699,0.07385363886771966,0.5040578697778064,0.13805910919929562,10.465,4.676546750132285,4.8,0.9189365834726815
no_jaccard,7.0,25,l2,window,0.6358872497818013,0.05827244462567312,0.5424911662302694,0.059234489015867454,10.3375,2.293177111657993,2.9,0.31622776601683794
importance,6.0,15,l2,5,0.6355501819193798,0.07523046020561608,0.5312970305054263,0.12209145371807882,9.460833333333333,4.382259497390488,5.2,1.3165611772087666
r2_only,7.0,20,l2,5,0.6354535654411412,0.11075609026863756,0.4892404642156157,0.12354536305501974,10.416666666666668,2.883408262781485,3.3,0.674948557710553
r2_only,6.0,30,l2,10,0.6341073684866404,0.1659394341289467,0.5623814036399476,0.17421471282626427,8.958333333333332,4.5047985389519045,3.2,1.5491933384829668
r2_resid,8.0,15,l2,10,0.632587170207365,0.09737901370354839,0.5694805308909205,0.09237913896552497,7.581071428571429,1.9482193233170726,5.6,1.2649110640673518
all,8.0,15,l2,window,0.6319914057932641,0.054822209377471905,0.650497097300814,0.05507088136171461,5.542857142857143,0.9083999885395388,6.4,0.5163977794943222
r2_only,4.0,15,l2,window,0.6314952228861984,0.12761330140014807,0.5195837791057303,0.12028591035412284,10.271666666666667,4.051004295538224,3.2,1.0327955589886444
residuals,6.0,25,l2,10,0.6312365274590601,0.12960448976823102,0.5278997215847869,0.13919750347721618,9.896666666666667,5.333789332357935,4.1,1.3703203194062976
fit_quality,3.0,20,rbf,window,0.6311216514659836,0.1205802165734826,0.5545766362653006,0.10570536438691072,9.916666666666668,2.8720126723472963,2.7,0.8232726023485646
fit_quality,8.0,20,l2,10,0.6304857015371814,0.08418147109107717,0.5935583078362676,0.06766084114550092,6.604464285714286,1.8566851637624513,6.3,1.766981104093143
residuals,5.0,30,l2,5,0.6303874863649049,0.10152175052365846,0.5496737822536194,0.11932035687966032,8.519345238095237,3.1760851110778705,4.9,1.8529256146249728
residuals,7.0,15,l2,10,0.6300459561365651,0.11806469071732491,0.5150538170350349,0.10701288432383341,10.135714285714286,4.131923326419481,4.4,1.4298407059684812
r2_only,3.0,30,l2,10,0.629787978681747,0.1563457878169344,0.5743592906968275,0.17544760895970984,8.454166666666667,4.633706769523287,3.8,1.8737959096740262
fit_quality,5.0,25,l2,window,0.628996793449524,0.06913487202564349,0.5418935868990479,0.06436719894538985,10.325,2.66527741589946,2.8,0.42163702135578385
no_jaccard,7.0,15,l2,window,0.6288276667289756,0.060384811479062626,0.6453481906008085,0.06341200612359255,5.641071428571428,1.055917447511253,6.4,0.5163977794943222
r2_resid,8.0,25,l2,10,0.6285623313925806,0.06287154788720989,0.586054662785161,0.06394855384571152,7.410833333333334,1.7653152721834364,5.6,1.3498971154211057
fit_quality,3.0,20,rbf,10,0.6279274183836359,0.09169975503698512,0.5210215034339383,0.10452547725579626,9.875,3.5130378855322903,3.7,1.2516655570345725
residuals,4.0,30,l2,5,0.6277389034303804,0.06559959824014568,0.5910909020988562,0.09142852668918172,6.856646825396825,2.263801614311796,6.2,1.6193277068654823
r2_only,4.0,25,l2,5,0.6275140959676602,0.06611587199453384,0.552102477649606,0.13210874601100084,8.08952380952381,3.43522717069566,5.3,1.3374935098492586
r2_resid,4.0,25,l2,window,0.6271289098489522,0.046628789393568834,0.5400078196979043,0.04643706998069455,10.479166666666668,1.8951336722781502,2.8,0.42163702135578385
importance,4.0,30,l2,10,0.6267059213881704,0.10631912456609237,0.6133368427763408,0.0772709442751223,6.660416666666667,1.4164627162448424,6.2,1.1352924243950933
importance,5.0,20,l2,window,0.6266996366797769,0.280056037905433,0.5642492733595537,0.2731171016849141,12.570833333333333,14.127533777986452,2.9,1.449137674618944
no_jaccard,8.0,25,l2,window,0.6266198695178317,0.06066604889473462,0.5387897390356635,0.0585558113489571,10.4625,2.2457478682288263,2.8,0.4216370213557839
importance,5.0,15,l2,10,0.6260870578260977,0.07437621359947821,0.5256541156521957,0.1271572617409908,9.456666666666667,4.338573754383141,4.7,1.636391694484477
residuals,7.0,25,l2,5,0.625897823596891,0.12684369369639886,0.5211223138604486,0.13005344574608474,10.221666666666668,5.623619446496388,4.1,1.3703203194062976
fit_quality,5.0,30,l2,10,0.6258426639755197,0.06821603345223284,0.638874613665325,0.05553954129549735,5.599107142857143,1.1484874006950636,6.6,1.07496769977314
r2_only,6.0,30,l2,5,0.625635796507596,0.15687839893662167,0.5378049263485255,0.16531086390119815,9.433333333333334,4.182525375717225,3.3,1.4944341180973264
importance,7.0,20,l2,10,0.6254646875903316,0.13722563638235086,0.5127627085139964,0.19140700598758295,10.708333333333332,6.253733452807646,4.2,1.3165611772087666
importance,7.0,30,l2,5,0.6253619721143959,0.10919782467489982,0.5432406108954584,0.11901024848601305,8.820833333333335,2.806658886458821,5.0,1.3333333333333333
residuals,7.0,25,l2,10,0.6253069470197937,0.1258081691249628,0.5296238940395875,0.139854775186413,9.9175,5.329217813150444,4.0,1.4142135623730951
r2_only,4.0,15,l2,10,0.6249800008118302,0.10554989122587541,0.5066233349569941,0.11935258949060872,10.2775,3.98332761893283,3.6,1.2649110640673518
importance,8.0,15,l2,5,0.6242927215516542,0.10094498543863063,0.48897210976997496,0.1287106914107969,11.143333333333334,4.568016156378858,4.0,1.1547005383792515
fit_quality,8.0,30,l2,5,0.6241238513269423,0.09254074910661889,0.6182024645586465,0.07977114854563792,6.385119047619048,1.2302868916853742,6.3,1.0593499054713802
r2_resid,7.0,20,l2,10,0.623855559518997,0.06425733189309242,0.6038611190379941,0.057341593634600715,6.345833333333333,1.2047571012828515,6.3,1.1595018087284057
residuals,8.0,15,l2,10,0.623177395359862,0.10510731418493131,0.4982347907197239,0.0998038009488867,10.99,3.7855736555025015,3.7,1.0593499054713804
residuals,8.0,15,l2,5,0.6231145725196338,0.10690139512142238,0.4872758117059341,0.09537310703123163,11.198333333333334,3.7554914524443688,4.0,1.0540925533894596
